Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,ImageURL,LocalImage
Chris MMCrypto,Chris MMCrypto,Owner,Owner,MMCrypto || MMHealth || MMCapital,MMCrypto || MMHealth || MMCapital,从事比特币内容创作超过 8 年，运营 YouTube 上最大规模的“比特币专注型”观众群，并以公开持有最大比特币多头仓位之一而闻名。,Bitcoin Content Creator for more than 8 Years.Biggest Public Bitcoin Trade open.Biggest Bitcoin only Audience on YouTube,本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 MMCrypto || MMHealth || MMCapital 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at MMCrypto || MMHealth || MMCapital, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691e21da932ab22de832470e_e665692b1c65a5d6cea1fdc6.webp,avatars/mena-speakers/chris-mmcrypto.webp
Christian Lopez,Christian Lopez,"Managing Director, Head of Blockchain and Digital Assets","Managing Director, Head of Blockchain and Digital Assets",Cohen & Company Capital Markets,Cohen & Company Capital Markets,Christian 的职业生涯扎根于金融科技与金融服务，形成了在并购、风投、资本市场、SPAC 和私募融资等领域的综合专长，他关注健全货币及其对金融生态的深远影响。目前，Christian 担任 Cohen & Company Capital Markets 的董事总经理、区块链和数字资产负责人，此前曾在 Broadhaven Capital Partners 专注 FinTech 与区块链公司的并购与融资咨询，在 Guggenheim Securities 覆盖金融科技、银行、保险和特色金融，并对区块链创新保持高度兴趣。他拥有哥伦比亚商学院 MBA 学位和伊利诺伊大学厄本纳-香槟分校学士学位。,"Christian has dedicated his career to the Fintech and financial services sectors, developing a unique expertise in M&A, venture capital, capital markets, SPAC, and private placement transactions. His passion for sound money and its transformative impact on the financial ecosystem drives his work.Currently, Christian is Managing Director, Head of Blockchain and Digital Assets at Cohen & Company Capital Markets. Previously, he served as Vice President at Broadhaven Capital Partners, providing M&A and private placement advisory services to blockchain and Fintech companies. Before that, he was an Associate at Guggenheim Securities, covering Fintech, Banks, Insurance, and Specialty Finance, with a keen interest in blockchain innovations.Christian holds an MBA from Columbia Business School and a BS from the University of Illinois Urbana-Champaign.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Cohen & Company Capital Markets 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Cohen & Company Capital Markets, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691e35443db35f24435a4264_mlwAZ1ccAxh_i5A3p9lJ-KNXax8aHhdKg4Qn3y6Xb2w.webp,avatars/mena-speakers/christian-lopez.webp
Christoph Koster,Christoph Koster,CEO,CEO,ruya,ruya,Chris 长期为银行、政府和科技公司打造金融服务与投资平台，目前担任阿联酋数字优先伊斯兰社区银行 ruya 的 CEO，通过合乎教义的伊斯兰银行实践、一流客户服务和社区参与，致力于构建更公平、更可持续的金融世界。在此之前，他是 G42 合资公司 COO，从孵化阶段开始搭建业务单元，并负责运营企业资产组合与自有投资计划；在阿布扎比投资办公室（ADIO）任职期间，则帮助阿布扎比跻身全球投资版图的重要中心。他还曾在阿联酋国民银行（Emirates NBD）领导私人银行、资管与零售银行的战略和客户体验团队，使其私人银行业务成长为区域领先财富管理品牌。职业早期，他在罗兰贝格重组团队以及大型可再生能源集团的企业发展与并购部门工作。,"Chris has been building financial services and investment platforms for banks, governments and technology companies. He is currently serving as the CEO of ruya, the UAE’s digital-first Islamic community bank. Under his leadership, ruya is dedicated to creating a fairer and more sustainable world through ethical Islamic banking practices, exceptional customer service and active community engagement.Before his role at ruya, Chris served as the Chief Operating Officer at a G42 joint venture, where he was responsible for building the business unit from its incubation phase. He also led the asset management of the group's portfolio of operating businesses and developed its proprietary investment programme.Prior to G42, Chris was a key member of the executive management team at the Abu Dhabi Investment Office (ADIO). His leadership and strategic vision were vital in positioning Abu Dhabi as a significant player on the global investment stage.At Emirates NBD, Chris led award-winning strategy and customer experience teams across Private Banking, Asset Management and Retail Banking. His tenure saw Emirates NBD's Private Banking business rise to prominence as the leading wealth management franchise in the region.Chris's career began at Roland Berger’s restructuring and turnaround practice as well as the corporate development and M&A team at a major renewable energy conglomerate.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 ruya 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at ruya, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68a5e0609f3dee85f8442d60_4BfrTDCwFzvZvt1BBZdTIZHUUFNEQMmHgpZSjwUxzTM.webp,avatars/mena-speakers/christoph-koster.webp
Clarisse Hagege,Clarisse Hagege,CEO,CEO,Dfns,Dfns,Clarisse Hagège 是 Dfns 的 CEO，这是一家专注数字资产安全的钱包基础设施公司，为比特币等多链网络提供先进的托管与密钥管理方案，致力于搭建安全、可编程的资产托管与交易“底层轨道”。她亦担任 MPC Alliance 董事会成员，并在 Techstars Web3 Launchpad 和 Station F 为早期加密创业者提供辅导，帮助传统金融与去中心化系统之间搭建桥梁。创立 Dfns 之前，Clarisse 分别在索邦大学、巴黎政治学院和多菲纳大学学习地缘政治与历史、金融以及应用经济学，并在高盛、美林和农业信贷投行工作十年，期间成为集团最年轻的 CEO 办公室主任之一，主导研究、全球覆盖与能源创新相关项目。如今，她将重心放在推动比特币机构级采用与安全自托管基础设施的全球普及，常年往返于纽约和巴黎，与伴侣 Christopher 及两个孩子一同生活。,"Clarisse Hagège is the CEO of Dfns, a cybersecurity company securing Bitcoin and digital assets through advanced wallet infrastructure. Her work focuses on building the cryptographic and institutional rails that enable safe, programmable custody and transaction flows across Bitcoin and other blockchain networks.Beyond Dfns, Clarisse serves on the board of the MPC Alliance, mentors founders through Techstars Web3 Launchpad, and advises early-stage crypto startups at Station F, helping bridge traditional finance and decentralized systems.Before founding Dfns, Clarisse earned degrees in Geopolitics and History (Sorbonne), Finance (Sciences Po), and Applied Economics (Dauphine University). She spent a decade in investment banking at Goldman Sachs, Merrill Lynch, and Crédit Agricole CIB, where she became the youngest Chief of Staff to the CEO and led initiatives in research, global coverage, and energy innovation.Today, Clarisse is deeply engaged in expanding Bitcoin’s institutional adoption and ensuring secure, global access to self-custody infrastructure. She lives between New York and Paris with her partner, Christopher, and their two children.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Dfns 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Dfns, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138e2f3aa7da36a2f074f2_8SpUbwyaucXv-4r3d54B_Y46UTY3QimyPtbNoFfOyYI.webp,avatars/mena-speakers/clarisse-hagege.webp
Cody Carbone,Cody Carbone,CEO,CEO,The Digital Chamber,The Digital Chamber,Cody Carbone 是 The Digital Chamber 的 CEO，这是一家全球最大、最具公信力的数字资产与区块链行业贸易协会，在快速演变的数字资产领域为政策制定者、监管机构和业界领袖提供权威参考与协作平台。协会拥有 200 多家成员，从比特币矿企、加密交易所到金融机构和财富 500 强企业，覆盖整个数字经济。作为华盛顿特区的核心声音，The Digital Chamber 主导美国联邦层面的教育与倡导工作，参与立法起草、监管框架设计，并推动两党合作，确保美国在数字创新中保持领先。Cody 亲自统筹与国会及特朗普政府的沟通，为关键数字资产立法提供洞见与解决方案。加入协会前，他在安永公共政策办公室负责金融服务与前沿科技的联邦游说，也曾在美国众议院与参议院担任政策工作人员。他拥有雪城大学法学博士（JD）与公共管理硕士（MPA）学位，是纽约州执业律师，常住华盛顿特区。,"Cody Carbone is the CEO of The Digital Chamber, the world’s largest and most trusted trade association representing the digital asset and blockchain industry. Under Cody’s leadership, The Digital Chamber serves as the go-to resource for policymakers, regulators, and industry leaders seeking clarity and collaboration in the rapidly evolving world of digital assets.With over 200 members spanning the entire digital economy—from bitcoin miners and crypto exchanges to financial institutions and Fortune 500 companies—The Chamber plays a central role in shaping the future of Web3 policy. As the premier voice in Washington, The Chamber leads federal education and advocacy efforts, crafting legislation, informing regulatory frameworks, and building bipartisan coalitions to ensure the United States remains a global hub for digital innovation.Cody personally oversees the Chamber’s engagement with Congress and the Trump administration, offering insight and policy solutions that reflect the diverse and rapidly growing digital asset ecosystem. His efforts have helped influence the most consequential digital asset legislation in the U.S..Prior to joining The Digital Chamber, Cody spent six years at Ernst & Young’s (EY) Office of Public Policy, where he led federal advocacy on financial services and emerging technologies. He also brings significant legislative experience, having served as policy staff in both the U.S. House of Representatives and U.S. Senate.Cody holds a Juris Doctor (JD) and a Master of Public Administration (MPA) from Syracuse University and is admitted to the New York State Bar. He resides in Washington, D.C., where he continues to champion smart, innovation-forward policies for the digital future.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 The Digital Chamber 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at The Digital Chamber, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b638dc64b755698d9ad8_6VRvRDzWD504ZeEjTY9QMEWa3j0HvDiIC8qQGGBhH3Y.webp,avatars/mena-speakers/cody-carbone.webp
Craig  Deutsch,Craig  Deutsch,,,BTC Inc.,BTC Inc.,,,本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 BTC Inc. 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at BTC Inc., which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68a77218a9bccdfaa69a252a_13be398f1351339622f39e64.webp,avatars/mena-speakers/craig-deutsch.webp
Dan Webb,Dan Webb,Program Coordinator,Program Coordinator,BTC Media Inc,BTC Media Inc,他在比特币领域担任软件工程师、市场营销与战略等职务超过五年，曾共同主持 High Hash Rate 播客。,"I've worked in Bitcoin as software engineer, marketer, and strategist for more than five years. Former co-host of the High Hash Rate podcast.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 BTC Media Inc 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at BTC Media Inc, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/690e0842c00ad2e95a6d93bf_69ff7b621f14241dd0b94d58.webp,avatars/mena-speakers/dan-webb.webp
Daniel Batten,Daniel Batten,Managing Partner,Managing Partner,CH4 Capital,CH4 Capital,Daniel Batten 是企业家和风投，因用数据驱动的研究挑战“比特币能源叙事”而在业内崭露头角。随着讨论的演变，他将注意力转向探索比特币的人道主义价值以及其作为大型机构资产负债表资产的适用性。,"Daniel Batten is an entrepreneur and venture capitalist who become a significant voice in the Bitcoin space mainly through his data-driven approach to challenging common energy narratives.As these narratives have evolved he has pivoted attention to investigating the humanitarian value of Bitcoin, and its suitability on the balance sheet of large institutional capital",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 CH4 Capital 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at CH4 Capital, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68d415818d53cdafa7a0ad82_5969107ca52874bf6b07775d.webp,avatars/mena-speakers/daniel-batten.webp
Daniel Jonsson,Daniel Jonsson,CEO,CEO,mgmt Digital Infrastructure Fund,mgmt Digital Infrastructure Fund,Daniel 是新近成立的 mgmt Digital Infrastructure Fund 的 CEO，该基金聚焦在电价低廉、能源闲置或被限发地区部署比特币挖矿，并通过电网调节与热能回收等附加收入模式提升挖矿收益，首先布局北欧，逐步扩展至全欧洲。他自 2017 年起即是矿工，先后创立并领导 Greenblocks（比特币挖矿公司）和 Viska Digital Assets（冰岛首家数字资产对冲基金），也是活跃的天使投资人。作为一个坚信工作量证明与“做难事”的践行者，他能卧推 150 公斤、硬拉 221 公斤。,"Daniel is the CEO of newly launched mgmt Digital Infrastructure Fund, a fund focused on bitcoin mining where energy is low cost, stranded or curtailed and leveraging mining with additional revenue streams such as grid balancing and heat reuse in the Nordics and eventually throughout Europe.A passionate miner since 2017, Daniel has been active in the industry founding and leading companies such as Greenblocks, a bitcoin mining company and Viska Digital Assets, Iceland's first digital asset focused hedge fund.Daniel has been an active angel investor in recent years.As a firm believer in proof of work and doing hard things, Daniel can bench press 150kg and deadlift 221kg.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 mgmt Digital Infrastructure Fund 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at mgmt Digital Infrastructure Fund, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68ffaa397a3a895a71d37c5e_tvmgf369uIDUlhmjpLARdzplrTSylsvgk8iAirGn1lI.webp,avatars/mena-speakers/daniel-jonsson.webp
Daniel Sempere Pico,Daniel Sempere Pico,Chief Viral Officer,Chief Viral Officer,Viral Bits,Viral Bits,他曾是房地产经纪人与企业家，在 2020 年末认真投身比特币，并于 2021 年初创建 Twitter 账号“Bitcoin Gandalf”，三年间将粉丝从 0 做到 8 万。他在 2021–2023 年期间在比特币挖矿公司 Braiins 负责市场工作，如今在撰写比特币内容的同时，通过代写和个人品牌策略咨询，帮助他人提升主权意识并建立个人品牌。,"I'm a former real estate broker and entrepreneur turned bitcoiner. I got seriously into bitcoin at the end of 2020. In early 2021, I started the Bitcoin Gandalf Twitter account and grew it from 0-80,000 followers in 3 years. I also worked in marketing at bitcoin mining company Braiins from 2021-2023. In addition to writing about bitcoin, I'm also focused on helping people become more sovereign by building their personal brands through my ghostwriting and personal branding strategy consulting services.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Viral Bits 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Viral Bits, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b638dc64b755698d9af9_YVWaUR6QrI7QDReI9o0pF-orqQTHZfGTEzIdONGLVKA.webp,avatars/mena-speakers/daniel-sempere-pico.webp
Danny Knowles,Danny Knowles,Host,Host,What Bitcoin Did,What Bitcoin Did,播客《What Bitcoin Did》的主持人，同时是 Epoch 的风险合伙人。,Host of What Bitcoin DidVenture Partner @ Epoch,本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 What Bitcoin Did 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at What Bitcoin Did, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae22907_1o9D8kaY2OIuoc39EEE3AS-iauetRo50bYA3sCWJy4Y.webp,avatars/mena-speakers/danny-knowles.webp
Danny Yeung,Danny Yeung,Co-Founder & CEO,Co-Founder & CEO,PRENETICS LTD,PRENETICS LTD,Prenetics（纳斯达克代码：PRE）是一家全球健康科技与长寿公司，开创“健康 + 财富”双引擎战略：一方面打造变革性的健康品牌，另一方面累积前瞻性的公司级比特币国库。其明星品牌 IM8 由公司与 David Beckham 联合创立，仅用 11 个月就实现 1 亿美元年经常性收入（ARR），成为史上最快突破该规模的保健品公司，增速甚至超过部分领先 AI 企业。IM8 预计在 2026 年底前将 ARR 提升至 3 亿美元，驱动力来自全球扩张、扎实的临床验证与顶级科学顾问委员会。在财富引擎方面，截至 11 月 19 日，Prenetics 持有 495 枚比特币，并以“每天增持 1 枚比特币”的节奏持续买入，体现出公司对长期财务韧性、不对称收益以及“同时延长寿命与巩固财务健康”的战略承诺。,"Prenetics (Nasdaq: PRE) is a global health-tech and longevity company pioneering a dual-engine “Health + Wealth” strategy—building a transformative wellness brand while simultaneously accumulating one of the world’s most forward-leaning corporate Bitcoin treasuries.Its flagship brand IM8, co-founded with David Beckham, has become a category-defining force—achieving US$100M ARR in only 11 months, making it the fastest supplement company in history to reach this scale, even surpassing the growth trajectories of leading AI companies. IM8 is now projected to reach US$300M ARR by the end of 2026, powered by global expansion, strong clinical validation, and a world-class scientific advisory board.On the wealth engine, as of November 19, Prenetics holds 495 BTC and is acquiring 1 BTC per day, underscoring its commitment to long-term financial resilience, asymmetric upside, and a future where companies invest not only in extending lifespan, but also in strengthening financial health for decades to come.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 PRENETICS LTD 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at PRENETICS LTD, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691dd281aa4cb7be2fa3522d_Ee8W8NqmIwevhL1UWgPJgzc0wAV3lllNNoqXasBwiOs.webp,avatars/mena-speakers/danny-yeung.webp
Darius Alexander,Darius Alexander,Managing Director,Managing Director,FTI Consulting,FTI Consulting,Darius 是 FTI Consulting 的董事总经理，为跨国企业和机构基金提供市场传播、Go-to-Market 与增长策略咨询，特别是在阿联酋协助多家全球科技、金融科技与数字资产公司成功落地。加入 FTI 前，他曾在风投和金融科技创业领域深度参与公司建设。,"Darius is Managing Director at FTI Consulting. He advises multinationals and institutional funds on marcomms, GTM and growth strategy, having launched into the UAE many leading global technology, fintech and digital assets firms. Prior to FTI, Darius was in venture capital and fintech company building.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 FTI Consulting 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at FTI Consulting, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69175661899e123d57ee5efe_45pR_8Fvjm3oPgi8Ot1OMD1XoTpY5kd9fWN8XdUWjWg.webp,avatars/mena-speakers/darius-alexander.webp
Dave Ripley,Dave Ripley,co-CEO,co-CEO,Kraken,Kraken,David Ripley 自 2024 年 10 月起担任 Kraken 联席 CEO，此前自 2016 年 10 月至 2023 年 4 月任首席运营官，并在 2023 年 4 月至 2024 年 10 月期间出任 CEO。在加入 Kraken 前，他是 Glidera 的联合创始人兼 CEO，这是一家非托管钱包与入金服务商，于 2016 年被 Kraken 收购。他早年曾在波士顿咨询集团担任顾问，服务科技与金融服务等多个行业，并在 Syclo（移动企业软件公司）担任软件工程与产品管理职务。David 拥有伊利诺伊大学厄本纳-香槟分校电气工程学士学位和西北大学凯洛格管理学院 MBA。,"David Ripley has served as Kraken's Co-Chief Executive Officer since October 2024. He previously served as Kraken's Chief Operating Officer from October 2016 to April 2023 and Chief Executive Officer from April 2023 to October 2024.Prior to joining Kraken, Mr. Ripley was the Co-Founder and Chief Executive Officer of Glidera, a non-custodial wallet and funding service provider that was acquired by Kraken in 2016.Mr. Ripley previously held roles in consulting at The Boston Consulting Group, where he advised clients across multiple industries, including technology and financial services. Earlier in his career, he also held management positions in software engineering and product management at Syclo, a mobile enterprise software company. Mr. Ripley holds a B.S. in Electrical Engineering from the University of Illinois at Urbana-Champaign and an M.B.A. from the Kellogg School of Management at Northwestern University.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Kraken 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Kraken, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691f6d7193b898106b94b61b_4r4dtKMmYA2YNpuZBWZB7I7YbuHLj_MsGZnlf3DYgL4.webp,avatars/mena-speakers/dave-ripley.webp
David Bailey,David Bailey,CEO,CEO,KindlyMD ($NAKA),KindlyMD ($NAKA),作为 BTC Inc. 的联合创始人兼 CEO，David Bailey 是去中心化未来的重要布道者。自 2013 年以来，BTC Inc. 为比特币生态提供情报服务、品牌建设和技术孵化，打造了《Bitcoin Magazine》、Bitcoin 2022 大会和 Carrot 等标志性项目，并在多个国家设立业务。Bailey 曾任 402 Digital Partners 管理合伙人（早期比特币基金之一），现为 UTXO Management 普通合伙人，也是比特币生态的活跃天使投资人，并在阿拉巴马大学顾问委员会任职。,"As the co-founder and chief executive officer of BTC Inc., David Bailey is an industry leader and evangelist for the decentralized future. Since 2013, BTC Inc has grown to offer critical intelligence, brand-building expertise and technical incubation specialized for the Bitcoin ecosystem, as well as industry-leading projects like Bitcoin Magazine, the Bitcoin 2022 conference, and Carrot. The company now operates in multiple countries and its brands are quickly becoming household names. Bailey sits on the board of advisors for the University of Alabama. He was managing partner at 402 Digital Partners, which is one of the earliest Bitcoin funds. He is currently general partner of UTXO Management; and is an active angel investor in the Bitcoin ecosystem.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 KindlyMD ($NAKA) 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at KindlyMD ($NAKA), which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68fa2b9f369a0f3ee9e018b8_1efDYNmNSXMOIhoDJGbkwWsYaFHhwAreJK1ufUPeMg8.webp,avatars/mena-speakers/david-bailey.webp
