Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,Interview4_ZH,Interview4_EN,ImageURL,LocalImage
Catherine Chen,Catherine Chen,Head of VIP & Institutional,Head of VIP & Institutional,Binance,Binance,Catherine 是 Binance 的 VIP 与机构业务负责人，负责为从高净值个人、 中型自营团队到全球金融机构等最复杂客户群体提供全球化服务。在加入 Binance 之前，她在摩根士丹利和摩根大通等大型投行从事传统金融工作长达 15 年，专注于结构性衍生品及相关解决方案。Catherine 拥有 Kellogg–HKUST 高级工商管理硕士学位，并在台湾大学取得经济学和国际关系双学士学位。,"Catherine is Head of VIP & Institutional at Binance, where she oversees global coverage of the exchange’s most sophisticated clients, ranging from individual traders and mid-sized proprietary teams to global financial institutions. Prior to joining Binance, Catherine spent 15 years in traditional finance across bulge brackets including Morgan Stanley and JP Morgan, specializing in structured derivatives and derivatives solutions.  Catherine holds an Executive MBA from Kellogg-HKUST as well as dual BA degrees in Economics and International Relations from National Taiwan University.",Catherine Chen，您在Binance担任Head of VIP & Institutional期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head of VIP & Institutional at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",你负责币安 VIP 与机构业务，对不同类型专业客户的需求非常敏感。最近一年里，你觉得机构客户提出的“新问题”里，哪一个最能代表他们对加密资产认知的升级？,"As Head of VIP & Institutional at Binance, you’re close to a wide range of sophisticated clients. Over the past year, which “new question” from institutions best reflects how their understanding of digital assets has evolved?",你在结构性衍生品方面有多年经验，如果要把这些复杂工具翻译成服务 Web3 用户的创新产品，你最期待看到哪一种“混合型”结构先落地？,"With your background in structured derivatives, if you were to translate those complex tools into products for Web3, what kind of “hybrid” structure would you most like to see launched first?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/f8341bbb2b1f407ba0f6420dd0eab0ad!_!bf7b04755753c388cd2a4b9a5e7a5d7c.png?f=webp,avatars/catherine-chen.png
Charles Edwards,Charles Edwards,Founder,Founder,Capriole Investments,Capriole Investments,"Charles 是 Capriole Investments、Capriole Fund、Capriole Charts 和 REF 的创始人，拥有超过 20 年投资经验和 10 年量化交易算法编写经验。他是著名链上模型 “Hash Ribbons” 和 “Macro Index” 的创作者，并利用 200 多个宏观与加密数据因子构建专有投资模型，是全球领先的比特币链上和宏观模型发布者之一，其指标位列 TradingView 前十，并已在 Glassnode、CryptoQuant 等平台上线。他创建了 100 多个开源指标，撰写了十余篇研究报告，并定期向在 X 上超过 12 万粉丝分享市场洞察。Charles 曾被包括 CNBC、《Forbes》《Bloomberg》和《Bitcoin Magazine》在内的媒体报道 200 余次，参与 20 多档播客节目（其中包括 2021 年的 “We Study Billionaires”），并在 2025 年 TOKEN2049 等大型会议上演讲，其演讲曾被《Forbes》评为大会首要趋势。创立 Capriole 之前，他在埃森哲（前身 GRA）担任经理，为丰田和澳大利亚国防军等客户交付累计逾 5,000 万美元成本节约，期间开发了用于优化数百万种库存项目需求与供应计划的系统化模型。他曾在澳大利亚、伦敦和丹麦学习，多次获得院长嘉奖和奖学金。","Founder of Capriole Investments, the Capriole Fund, Capriole Charts and REF. Charles has been investing for over 20 years and coding trading algorithms for a decade. He is the creator of renowned on-chain models like “Hash Ribbons” and “Macro Index” and has built proprietary investment models using over 200 macro and crypto data signals. He is one of the leading publishers of on-chain Bitcoin and macro models globally, with his indicators and models featured in the top 10 on TradingView, and also available on Glassnode, CryptoQuant and more. He has created 100+ open-source metrics, authored 10+ research pieces, and regularly shares market insights with his 120,000+ followers on X (X.com/@Caprioleio). Charles has been featured in 200+ media articles (including CNBC, Forbes, Bloomberg and Bitcoin Magazine), has appeared on 20+ podcasts (including “We Study Billionaires” in 2021, the world’s largest stock investing podcast) and spoken at major conferences such as TOKEN2049 in 2025 (the world’s largest crypto conference) where Forbes recognized his speech as the number 1 trend for the event. Before Capriole, Charles was a Manager at Accenture (prev. GRA), delivering $50M+ in savings for clients like Toyota and the Australian Defence Force, where he developed systematic models for optimising the demand and supply planning for dollars of inventory covering millions of stock items. He holds two Dean’s Awards and three scholarships from studies in Australia, London, and Denmark.",Charles Edwards，您在Capriole Investments担任Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder at Capriole Investments, which recent project or strategy best captures your current focus, and what insights can you share from it?",你的多款链上与宏观模型被广泛引用。回顾过去几年，有没有某个你自己模型发出的信号与你主观感觉相反，但最终被事实证明是对的？,"Many of your on‑chain and macro models are widely used. In recent years, was there a moment when your model’s signal contradicted your gut feeling but turned out to be right?",作为长期构建量化系统的投资人，你如何建议个人投资者在不写一行代码的情况下，把“系统化思维”引入自己的投资流程？,"As a systematic investor, how would you recommend that retail investors introduce “systematic thinking” into their process without writing a single line of code?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/6385f576018f498ca43ce943e5d5f62d!_!6a2de971952af3fe924248150ee4ac0a.png?f=webp,avatars/charles-edwards.png
Chef Kids,Chef Kids,Head Chef,Head Chef,PancakeSwap,PancakeSwap,PancakeSwap 的首席执行官。,CEO of PancakeSwap,Chef Kids，您在PancakeSwap担任Head Chef期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head Chef at PancakeSwap, which recent project or strategy best captures your current focus, and what insights can you share from it?",你把美食、亲子或生活方式和 Web3 结合在一起，这在加密内容中很少见。观众反馈中，哪一类日常场景最容易帮助他们理解抽象的链上概念？,"You blend food, family, or lifestyle content with Web3, which is rare in crypto media. Which everyday scenario do your viewers say helps them understand abstract on‑chain concepts the most?",如果未来要为年轻人做一档“家庭版 Web3 入门”节目，你会设计哪一个互动环节来同时教育孩子和父母？,"If you were to design a “family Web3 101” show, what interactive segment would you use to educate both kids and parents at the same time?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/780a9043f4824378aa934334af2d58c7!_!5ca4454a0b65e6b44e7c67252d43dd8c.png?f=webp,avatars/chef-kids.png
Christian Rau,Christian Rau,SVP Digital Assets and Blockchain,SVP Digital Assets and Blockchain,Mastercard,Mastercard,暂无中文介绍（可在 CSV 中补充）,,Christian Rau，您在Mastercard担任SVP Digital Assets and Blockchain期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the SVP Digital Assets and Blockchain at Mastercard, which recent project or strategy best captures your current focus, and what insights can you share from it?",你长期在支付与卡组织体系中推动创新。相较几年前，你现在对稳定币和链上结算的态度最大变化是什么？,"You’ve spent years driving innovation in card and payments networks. Compared to a few years ago, what has changed most in your view of stablecoins and on‑chain settlement?",面对想要“上链”的银行和商户，你通常会用什么样的商业案例，来打消他们对合规和风险的顾虑？,"When banks or merchants say they want to “go on‑chain,” what kind of business case do you use to address their concerns around compliance and risk?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/bd52f91664bc496c8384f3377838d05b!_!45324f0470cce2c5ba86c8a72080ba09.png?f=webp,avatars/christian-rau.png
Ci Ci,Ci Ci,Head of BD,Head of BD,Four.Meme,Four.Meme,Four.Meme 业务发展负责人,Four.Meme Head of BD,Ci Ci，您在Four.Meme担任Head of BD期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Head of BD at Four.Meme, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在华语社区做了大量教育和活动。回顾上一轮牛市，哪一个你亲自组织的活动，让你第一次感到“这一批新用户真的理解了 Web3 精神”？,"You’ve organized many educational and community activities in the Chinese‑speaking world. Looking back at the last bull run, which event made you first feel that “this cohort of newcomers truly understands the spirit of Web3”?",对于准备转型做全职 Web3 创作者或 KOL 的人，你会给出哪三条最现实的提醒？,"For people planning to become full‑time Web3 creators or KOLs, what three very practical warnings or pieces of advice would you give?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/43309219c6a6485f8c4228f604b93ff3!_!08311445a901961b93c494a54fac4fb8.png?f=webp,avatars/ci-ci.png
CryptoJobs ​,CryptoJobs ​,CryptoJobs - KOL creator journey,CryptoJobs - KOL creator journey,Binance Square - Top KOL creators,Binance Square - Top KOL creators,一位拥有超过 8 年市场经验的加密技术分析与基本面分析专家，专注于一目均衡云、价格行为和趋势结构。他最初在币安开启交易之路，如今通过成熟的分析方法和每日更新，帮助全球交易者在加密市场中导航。他的内容包含透明的图表拆解、教育式讲解、经实战检验的交易方案，以及结合技术与基本面的长期洞察，目标是为交易者提供实用知识、稳定策略，并通过以学习为核心的社区驱动方式共同成长。,"Crypto TA & FA specialist with 8+ years in the markets, he focuses on Ichimoku, price action, and trend structure. He began his journey with Binance and now helps traders worldwide navigate the crypto market through proven analysis and daily updates. His content features transparent chart breakdowns, educational explanations, battle‑tested setups, and long‑term insights across both technical and fundamental analysis. His goal is to equip traders with practical knowledge, consistent strategies, and a community‑driven approach that keeps learning at the center.",CryptoJobs ​，您在Binance Square - Top KOL creators担任CryptoJobs - KOL creator journey期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CryptoJobs - KOL creator journey at Binance Square - Top KOL creators, which recent project or strategy best captures your current focus, and what insights can you share from it?",很多项目都在抢人，你们观察到 Web3 求职者和传统互联网求职者最大的行为差异是什么？,"With so many teams hiring, what is the biggest behavioral difference you see between Web3 job‑seekers and traditional internet candidates?",如果用一张“技能雷达图”来描述 2025 年最抢手的 Web3 人才，你认为哪三项维度增长最快？,"If you were to draw a “skill radar chart” for the most in‑demand Web3 talent in 2025, which three dimensions are expanding the fastest?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/ae548065596e452f83186bfef27ee776!_!96079a479caeb939c452c77d63d57326.png?f=webp,avatars/cryptojobs.png
Dani Topala,Dani Topala,Founder,Founder,ICN Media,ICN Media,Dani Topala 是 ICN Media 的创始人兼首席执行官，这是一家总部位于阿联酋的领先媒体生态公司。凭借在欧洲、美国以及自 2014 年起在阿联酋共 20 年的市场营销和商业经验，他曾打造并出售两家电商企业，均实现七位数美元级别退出。如今，他在迪拜持续扩张 ICN Media，并坚信长期成功基于两大支柱：正确的心态和高质量的人脉连接。,"Dani Topala is the Founder & CEO of ICN Media, a leading UAE-based media ecosystem. With 20 years of marketing and business experience across Europe, the United States, and since 2014 in the UAE, he has built and sold two e-commerce companies in 7-figure exits. Now scaling ICN Media from Dubai, Dani believes that long-term success is built on two pillars: right attitude and elite connections.",Dani Topala，您在ICN Media担任Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder at ICN Media, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在阿联酋连续创业并打造 ICN Media 生态。相比欧美，你觉得中东市场在内容分发和品牌合作上的节奏有什么独特之处？,"You’ve built ICN Media in the UAE after years of entrepreneurship. Compared with Europe and the US, what is unique about the Middle Eastern rhythm of content distribution and brand partnerships?",作为曾多次成功退出的创始人，如果要给 Web3 内容创业者一条“如何搭建可出售资产而不是个人 IP”的建议，你会怎么说？,"As a founder with multiple successful exits, what advice would you give Web3 media builders on creating a sellable asset rather than just a personal brand?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/17b43d950e70469484022bbf001a4820!_!6439117ec4c7e5ba308174eea21796ce.png?f=webp,avatars/dani-topala.png
Dan Murphy,Dan Murphy,Anchor & Correspondent,Anchor & Correspondent,CNBC,CNBC,Dan Murphy 是常驻阿联酋的 CNBC 主持人与记者，从中东核心地区报道全球商业、市场、经济和地缘政治。他同时主持 CNBC 标志性节目《Access Middle East》，该节目面向全球播出，深度专访国家元首、财政部长、央行行长、主权财富基金高管以及区域重要商业领袖和首席执行官。Dan 为观众提供对海湾地区快速演变的经济格局以及驱动区域转型的庞大资本的高层次洞察；他的现场报道涵盖沙特、阿联酋、卡塔尔等金融与地缘政治热点，从土耳其、以色列大选到埃及、俄罗斯的重要访谈。作为能源与地缘经济领域的重要声音，他凭借对全球能源市场的报道获得 2023 年 GI 国际能源新闻奖，并经常在维也纳报道欧佩克会议，还担任哥伦比亚大学全球能源政策中心的能源新闻研究员。Dan 亦常年在达沃斯、利雅得和迪拜的世界经济论坛报道，并主持逾 100 场聚焦中东、金融、银行、能源、科技、航空与阿拉伯世界领导力的高端论坛。2024 年，他被大西洋理事会评为 36 位“青年全球领袖”之一，并入选具有影响力的 Millennium Fellowship 项目。Dan 2015 年在新加坡加入 CNBC，是 2018 年该台迪拜与阿布扎比海湾分部启动团队的一员，在此之前，他曾在澳大利亚为 Sky News 报道。,"Dan Murphy is CNBC’s Anchor and Correspondent in the United Arab Emirates, covering global business, markets, economics, and geopolitics from the heart of the Middle East. Dan is also the host of Access Middle East - CNBC’s flagship program from the region. The show is broadcast worldwide and features in-depth interviews with Heads of State, Finance Ministers, Central Bank Governors, sovereign wealth fund executives, and leading regional leaders and CEOs. Dan provides high-level insight into the Gulf’s rapidly evolving economic landscape, and the vast pools of capital driving transformation across the region. His field reporting spans major financial hubs and geopolitical hotspots - from anchoring live coverage in Saudi Arabia, the UAE, and Qatar to covering critical elections in Turkey and Israel, and delivering high-stakes interviews in Egypt and Russia. A leading voice in energy and geo-economics, Dan was awarded the 2023 GI International Energy Journalism Award for his reporting on global energy markets. He regularly reports from OPEC meetings in Vienna, and also serves as an Energy Journalism Fellow at Columbia’s Center of Global Energy Policy. Dan regularly reports from the World Economic Forum in Davos, Riyadh, and Dubai, and has led more than 100 high-level panels at global conferences and events focusing on the Middle East, finance, banking, energy, technology, aviation, and leadership in the Arab world. In 2024, Dan was named one of thirty-six Young Global Leaders by the Atlantic Council and selected for the prestigious Millennium Fellowship, which recognizes leaders shaping the future of international affairs. Dan began his career with CNBC in Singapore in 2015, and was part of the team that launched the network’s Gulf bureaus in Dubai and Abu Dhabi in 2018. Prior to CNBC, he reported for Sky News in Australia.",Dan Murphy，您在CNBC担任Anchor & Correspondent期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Anchor & Correspondent at CNBC, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从 CNBC 前线报道海湾地区资本和能源格局的变化。和五年前相比，你在采访中听到的关于加密资产和代币化的提问有哪些明显变化？,"Reporting for CNBC, you’ve watched capital and energy flows in the Gulf evolve. Compared with five years ago, how have the questions you hear about digital assets and tokenization changed in your interviews?",你经常在达沃斯、利雅得和迪拜主持高层对话，如果要用一句话总结“中东决策者对 Web3 的真实态度”，你会怎么说？,"You frequently moderate panels in Davos, Riyadh, and Dubai. In one sentence, how would you summarize the real attitude of Middle Eastern decision‑makers toward Web3?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/0631cbcfad594399992d58129901a53f!_!132bce10776b5dd01407921fad5cd41f.png?f=webp,avatars/dan-murphy.png
David Wachsman,David Wachsman,CEO,CEO,Wachsman,Wachsman,David Wachsman 是 Wachsman 的创始人兼首席执行官，这是一家数字资产行业内规模最大的专业传播公司。如今，Wachsman 在洛杉矶、迈阿密、华盛顿特区、纽约、伦敦、都柏林、日内瓦和新加坡等地拥有逾 120 名全职专业人士。自 2015 年以来，David 及其团队重塑了全球媒体和公众对区块链及其相关领域的认知，他们为数百家先锋企业提供咨询，并持续为行业内众多体量最大、知名度最高的项目提供战略传播支持。,"David Wachsman is the founder and CEO of Wachsman, the largest specialized communications firm in the digital asset industry. Today, Wachsman has more than 120 full-time professionals working from offices in Los Angeles, Miami, Washington DC, New York, London, Dublin, Geneva, and Singapore.Since 2015, David and his firm have helped to shape the way the global media and their audiences view blockchain technology and everything that it touches. His staff have been counsel to hundreds of pioneering firms and continue to advise many of the largest and highest profile players in the space.",David Wachsman，您在Wachsman担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Wachsman, which recent project or strategy best captures your current focus, and what insights can you share from it?",你从 2015 年就开始为区块链项目做传播策略。回顾这十年，你认为行业在对外叙事上犯过的最大集体错误是什么？,"You’ve shaped communications for blockchain projects since 2015. Over the past decade, what do you see as the industry’s biggest collective mistake in external storytelling?",现在很多团队在熊市削减市场预算。以你的经验，如果预算只够做三件事来维持品牌长期信任，你会如何排序？,"Many teams cut marketing budgets in bear markets. From your experience, if a project can only afford three activities to preserve long‑term trust, how would you prioritize them?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/ad6e2951e5f64ded9c0089882eeecdd7!_!584bd55b242aff235ef522210b66a796.png?f=webp,avatars/david-wachsman.png
David Haslop,David Haslop,Founder & CEO,Founder & CEO,CryptoCon,CryptoCon,David Haslop 是 CryptoCon 的创始人兼首席执行官，该品牌旗下包括 AusCryptoCon 和 NZCryptoCon，被公认为南半球最大加密货币博览会的主办方，并推动区块链在现实世界的广泛落地。,"David Haslop is the Founder and CEO of CryptoCon, the global brand behind AusCryptoCon and NZCryptoCon, recognised for building the largest crypto EXPO in the Southern Hemisphere and driving real world blockchain adoption.",David Haslop，您在CryptoCon担任Founder & CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder & CEO at CryptoCon, which recent project or strategy best captures your current focus, and what insights can you share from it?",你把 AusCryptoCon 和 NZCryptoCon 打造成南半球最大的加密大会。你在筛选演讲者和赞助商时，最看重的三项标准是什么？,You turned AusCryptoCon and NZCryptoCon into the largest crypto expos in the Southern Hemisphere. What are the top three criteria you use when selecting speakers and sponsors?,你希望未来五年的大会现场，在哪一个维度上发生“质变”：是机构参与度、开发者占比，还是普通用户的教育深度？,"Over the next five years, on which dimension would you most like to see an inflection at your events: institutional presence, developer share, or the depth of retail education?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/b3da8f971edd40719ec5f1732fa57050!_!f86ac1658ceacb5ec5ea0fdc5c880a48.png?f=webp,avatars/david-haslop.png
Dayana Aleksandrova,Dayana Aleksandrova,Content Manager,Content Manager,WalletConnect,WalletConnect,"Dayana Aleksandrova 是全球演讲者、全栈创意营销人，也是 WalletConnect 的内容负责人；WalletConnect 是金融互联网的连接层，预计到 2025 年底其年度网络总交易量（TNV）将超过 4,000 亿美元。","Dayana Aleksandrova is a global speaker, full-stack creative marketer, and Content Manager at WalletConnect, the connectivity layer of the financial internet, on track to exceed $400B in annual Total Network Volume (TNV) by the end of 2025.",Dayana Aleksandrova，您在WalletConnect担任Content Manager期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Content Manager at WalletConnect, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 WalletConnect 负责内容与品牌叙事，同时本身也是全栈营销人。你是如何把复杂的连接协议、签名流程，转化成普通用户能共鸣的故事？,"As Content Manager at WalletConnect and a full‑stack marketer, how do you turn complex connection protocols and signing flows into stories that resonate with everyday users?",你在多个市场做过品牌活动。对比下来，哪一个地区的用户在接受“钱包是新浏览器”的概念时反应最快？你认为原因是什么？,"Having worked across markets, in which region did users adopt the idea of “the wallet is the new browser” the fastest, and why do you think that is?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/e8f6be571f934ee5b39de2ce517c7ebe!_!56575b5bfa113a906ff51293af712aa3.png?f=webp,avatars/dayana-aleksandrova.png
Denitza Valjavec,Denitza Valjavec,Co-Founder,Co-Founder,Propy,Propy,Denitza Valjavec 是 Propy 的联合创始人兼首席运营官，Propy 是一家诞生于硅谷的地产科技公司，在真实资产代币化和链上房地产交易方面走在行业前沿。作为全球知名的区块链倡导者，Denitza 推动了全球首批在以太坊及 NFT 形式完成的房产交易，持续推进 Propy 将传统房地产与区块链技术深度融合的使命。她经常受邀在全球重要会议发言，并在欧洲创立多家专注区块链教育的非营利组织，积极推动 AI、区块链与产权交汇处的创新。,"Denitza Valjavec is the Co-founder and COO at Propy, a Silicon Valley–born proptech company pioneering real-world asset tokenization and onchain real estate transactions. A globally recognized blockchain advocate, Denitsa led the world’s first property sales on Ethereum and as NFTs, driving Propy’s mission to merge traditional real estate with blockchain technology. She is a frequent speaker at leading global events and a founder of EU-based non-profits for blockchain education. She champions innovation at the intersection of AI, blockchain, and property rights.",Denitza Valjavec，您在Propy担任Co-Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder at Propy, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 Propy 推动了全球首批链上房产交易。回头看，你觉得传统房产业者最难跨过的心理门槛是“技术风险”还是“监管与责任”？,"At Propy you led some of the world’s first on‑chain property sales. Looking back, what psychological barrier was hardest for traditional real‑estate players to cross: technology risk, or regulation and liability?",未来五年，你认为“房产上链”真正会先在哪一个细分场景爆发：开发商融资、二手房交易，还是抵押贷款与再打包？,"Over the next five years, which specific real‑estate scenario do you expect to see true on‑chain breakout first: developer financing, secondary sales, or mortgages and securitization?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/a6157655360c4438a4193179c13a390d!_!c375fac1031407e593535780552ef104.png?f=webp,avatars/denitza-valjavec.png
Deniz Dalkilic,Deniz Dalkilic,CTO,CTO,Lumia,Lumia,这位区块链与 DeFi 架构师拥有 10 余年软件工程经验，技术专长覆盖 L1、L2 区块链、去中心化应用及 Web2 后端开发。他热衷于将 Web3 愿景变为现实，在去中心化金融、RWA 代币化等领域打造创新解决方案。,"Blockchain & DeFi Architect with 10+ years in software engineering. Expertise spans across blockchain technologies; L1 and L2, dApps, and (Web2) backend development. Passionate about turning Web3 visions into reality, crafting innovative solutions in decentralised finance, RWA tokenisation and beyond.",Deniz Dalkilic，您在Lumia担任CTO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CTO at Lumia, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在运营、风控或交易平台方面有丰富经验。过去两年里，哪一种用户行为模式最让你意识到“传统风控模型必须升级”？,"With your background in operations, risk, or trading platforms, what recent user behavior pattern made it clear that traditional risk models need an upgrade?",如果要为加密平台设计一套“下一代合规与用户教育系统”，你认为最应该自动化的是哪一步，最不能自动化的是哪一步？,"If you were to design a “next‑generation compliance and education system” for crypto platforms, which step should be automated first, and which step must never be automated?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/325cfed4ee394919b00fe72bf7862410!_!3ac1c8b4dc4ab8e44a36d08866b601ec.png?f=webp,avatars/deniz-dalkilic.png
Derek Rein,Derek Rein,CTO,CTO,WalletConnect,WalletConnect,Derek 是 WalletConnect 的首席技术官，也是多项主流区块链标准的作者。凭借在 Amazon、Venmo 及多家初创公司的十多年经验，他曾参与扩展全球级金融科技与 Web3 平台；在 WalletConnect，他主导开源创新，并制定推动区块链互操作性的技术标准。,"Derek is the CTO of WalletConnect and author of several common blockchain standards. With over a decade of experience at Amazon, Venmo, and multiple startups, he has scaled global fintech and Web3 platforms. At WalletConnect, Derek drives open-source innovation and sets the standards powering blockchain interoperability.",Derek Rein，您在WalletConnect担任CTO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CTO at WalletConnect, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在 WalletConnect 推动多项区块链标准。你如何在“兼容更多链”和“保持协议简洁”之间找到技术上的平衡点？,At WalletConnect you’re driving several blockchain standards. How do you technically balance “supporting more chains” with keeping the core protocol simple?,从 Amazon 和 Venmo 到 Web3，你对“支付体验”的理解不断演化。你现在设计一条新的用户路径时，最常删除掉的是哪一种步骤或提示？,"From Amazon and Venmo to Web3, your view of “payment experience” has evolved. When you design a new user flow today, what kind of step or prompt do you most often remove?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/779216eed53a49da8b4a0a612bcf0a63!_!5ff04fa505cb79050b11eea605ab4b84.png?f=webp,avatars/derek-rein.png
